GP I INDUSTRIAL APPLICATIONS;GPI;GP I CI INDUSTRIAL APPLIC. CENTRAL ITEMS;SPGO99;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA I SE OIL&GAS SERVICE;SER028;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;NANTUCKET;CIT077;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS MP MECHANICAL PRODUCTS;HSC010;2022-10-19T09:10:22.841Z
DI DIGITAL INDUSTRIES;SDI;DI CENTRAL ITEMS;SDI999;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;CORPORATE SCM;CDO400;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA FS&T TREASURY;SER041;2022-10-19T09:10:22.841Z
FINANCIAL SERVICES;SFS;SFS PS DEBT EMEA/AA;SFS052;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;GEHALTSEINBEHALT AUS AKTIENORIEN. VERG.;CIT712;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SHERPA X;CIT430;2022-10-19T09:10:22.841Z
TCF - PENSIONS;EPN;TCF - PENSIONS DIV NO ASSIGNED BU;EPNZZZ;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;CF FINANCING - PENSIONS DIV NO ASSIGNED BU;PENZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;RESERVE 009;CIT009;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T HIGH VOLTAGE GRIDS;SPG073;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;GOVERNANCE CENTRAL ROW;CIT320;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;FINANZIERUNGSTHEMEN;CFI001;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS HEALTHINEERS DIV NO ASSIGNED BU;HSCZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;PROJEKT CHESS DO;CIT184;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;CIT TECHNICAL;ECITEC;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;GP BRAND FEE;SPG992;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;TRE KONZEPT;CIT170;2022-10-19T09:10:22.841Z
GP T TRANSMISSION;GPT;GP T GRID AUTOMATION TECHNOLOGIES;SPG075;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA SOLUTIONS;IOT200;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI BSW BRIGHTLY SOFTWARE;SSI065;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA G PRODUCT OPERATIONS;SER011;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS ENERGY DO;GBSEDO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;ECI;SE SHARE OPTIONS;CIT003;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA DIV NO ASSIGNED BU;IOTZZZ;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA T SO TRANSMISSION SOLUTIONS;SER032;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS RECORD-TO-REPORT SERVICES;GBS300;2022-10-19T09:10:22.841Z
TCF - TRE SCU;ETR;TCF - TRE SCU DIV NO ASSIGNED BU;ETRZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;HYPERINFLATION TRK CATCH UP;CIT797;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA I CONS OIL&GAS;SEROCO;2022-10-19T09:10:22.841Z
